17
0	17.8	23.2	23	0	0	0	0	14.2	14.4	16	0	0	0	0	20.7	0	

17.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

23.2	0	0	0	13.3	0	0	0	0	0	0	0	0	15.2	0	0	0	

23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	10.8	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	10.8	0	8	13.1	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	

14.2	0	0	0	0	0	13.1	0	0	0	0	20.9	0	0	0	0	0	

14.4	0	0	0	0	0	0	0	0	0	0	0	12.8	0	0	0	0	

16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	20.9	0	0	0	0	0	0	0	13.8	

0	0	0	0	0	0	0	0	0	12.8	0	0	0	0	0	0	0	

0	0	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.7	

20.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	0	13.8	0	0	30.7	0	0	

